chunk,ticks,wall_s,reward_mean,loss_mean,grad_norm_mean,grad_norm_max,update_norm,episodes,t0_success,available_cells,allocated_gib,peak_allocated_gib,finite
102,80216064,136.687,0.0111364,0.0874981,8.93024,19.0689,0.520706,13392,0,33,8.65395,10.2901,1
103,81002496,138.011,0.0112698,0.0900826,4.76045,13.0168,0.787504,13513,0,33,8.65394,10.2901,1
104,81788928,139.335,0.0120603,0.0715246,4.29911,11.291,0.871916,13643,0,33,8.65395,10.2901,1
105,82575360,140.657,0.0110732,0.0711225,5.82592,14.2654,0.715441,13776,0,33,8.65395,10.2901,1
106,83361792,141.973,0.0110416,0.0731212,6.76741,21.6957,0.886332,13911,0,33,8.65395,10.2901,1
107,84148224,143.296,0.0121846,0.0787298,4.44313,14.0981,0.962255,14058,0,33,8.65396,10.2901,1
108,84934656,144.613,0.0122345,0.069157,4.25485,12.6265,0.911062,14200,0,33,8.65395,10.2901,1
109,85721088,145.928,0.0127907,0.0707363,3.83959,6.79998,0.828186,14333,0,33,8.65395,10.2901,1
110,86507520,147.249,0.011661,0.0958997,9.34232,19.5409,0.661978,14445,0,33,8.65394,10.2901,1
111,87293952,148.568,0.0130118,0.0725118,3.28466,7.16745,1.0932,14553,0,33,8.65394,10.2901,1
112,88080384,149.884,0.0127164,0.0775166,6.46185,13.6347,0.66518,14686,0,33,8.65395,10.2901,1
113,88866816,151.202,0.0130564,0.0875621,5.91212,13.1111,0.716459,14813,0,33,8.65395,10.2901,1
114,89653248,152.524,0.0135971,0.0893237,2.70171,6.02696,1.16753,14947,0,33,8.65395,10.2901,1
115,90439680,153.841,0.0147699,0.10596,4.78671,14.1334,0.889085,15089,0,33,8.65395,10.2901,1
116,91226112,155.156,0.0138517,0.0972657,4.12816,6.91335,0.831077,15223,0,33,8.65395,10.2901,1
117,92012544,156.471,0.0140988,0.105256,4.11709,7.9642,0.932652,15339,0,33,8.65394,10.2901,1
118,92798976,157.792,0.0147069,0.0972718,7.85827,14.7183,0.546032,15468,0,33,8.65395,10.2901,1
119,93585408,159.109,0.0149644,0.10589,7.92321,16.678,0.532607,15625,0,33,8.65396,10.2901,1
120,94371840,160.424,0.0147728,0.0988379,3.96877,7.7679,0.902104,15759,0,33,8.65395,10.2901,1
121,95158272,161.736,0.0148173,0.121874,8.04472,14.0913,0.505026,15891,0,33,8.65395,10.2901,1
122,95944704,163.05,0.0149115,0.143467,11.3121,26.4603,0.548936,16023,0,33,8.65395,10.2901,1
123,96731136,164.366,0.0151245,0.10563,4.31791,8.07789,0.842952,16167,0,33,8.65396,10.2901,1
124,97517568,165.682,0.0152758,0.107102,7.51668,14.0792,0.605654,16301,0,33,8.65395,10.2901,1
125,98304000,166.994,0.0150331,0.112652,3.96992,7.83083,1.00184,16415,0,33,8.65394,10.2901,1
126,99090432,168.307,0.0147781,0.113224,5.82439,15.1833,0.777737,16543,0,33,8.65395,10.2901,1
127,99876864,169.615,0.015554,0.101723,7.99697,21.353,0.870481,16673,0,33,8.65395,10.2901,1
128,100663296,170.92,0.0155475,0.110006,5.00094,14.4911,0.954176,16794,0,33,8.65394,10.2901,1
129,101449728,172.233,0.0143883,0.11044,6.32501,17.7387,0.838022,16917,0,33,8.65394,10.2901,1
130,102236160,173.539,0.0148547,0.103188,5.05269,11.3258,0.746889,17052,0,33,8.65395,10.2901,1
131,103022592,174.851,0.015621,0.0997757,4.35608,8.51573,0.873783,17182,0,33,8.65395,10.2901,1
132,103809024,176.161,0.01497,0.101133,5.99425,15.3599,0.708056,17325,0,33,8.65396,10.2901,1
